'id','title','comment','field_sponsor_url_url','field_sponsor_url_attributes'
'business_portal_sponsors-1','Mayor\'s Office','1','http://www.lamayor.org/','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-2','Office of Finance','1','http://finance.lacity.org/','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-3','LA Innovation Team','1','www.losangelesinnovates.com','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-4','Economic & Workforce Development Department','1','http://ewddlacity.com/','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-5','Information Technology Agency','1','http://ita.lacity.org/','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-6','Department of Building and Safety','1','http://www.ladbs.org/','a:1:{s:6:"target";i:0;}'
'business_portal_sponsors-7','Department of City Planning','1','http://planning.lacity.org/','a:1:{s:6:"target";i:0;}'
